Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,78.50757083120423,78.70321481474599,77.454079821641,78.04102325439453,786500,0.0,0.0
2015-01-05 00:00:00-05:00,77.61962923931956,78.25924693625885,77.13050779775512,77.49170684814453,857800,0.0,0.0
2015-01-06 00:00:00-05:00,77.77011719675215,78.48498868616741,77.43149778775683,77.74754333496094,1241200,0.0,0.0
2015-01-07 00:00:00-05:00,78.40973572522915,79.38045198083562,78.13131710519112,79.11708068847656,1020600,0.0,0.0
2015-01-08 00:00:00-05:00,79.71154875827352,80.89296202046475,79.39550321474647,80.64463806152344,1245800,0.0,0.0
2015-01-09 00:00:00-05:00,80.74248736099587,80.75753469234844,79.9147406099796,80.07276916503906,748300,0.0,0.0
2015-01-12 00:00:00-05:00,80.10285968172713,80.30603596139316,79.26007138404486,79.33531951904297,1123400,0.0,0.0
2015-01-13 00:00:00-05:00,80.09533197814882,80.59950075431892,79.77928065271507,80.26840209960938,1414400,0.0,0.0
2015-01-14 00:00:00-05:00,79.98245232528741,80.6521703903824,79.86957726847126,80.53176879882812,1499500,0.0,0.0
2015-01-15 00:00:00-05:00,81.1488164966437,82.10448551700397,80.95317251257624,81.61536407470703,1516400,0.0,0.0
2015-01-16 00:00:00-05:00,81.99161000540647,83.3385727275836,81.95398881224469,83.2708511352539,2532200,0.0,0.0
2015-01-20 00:00:00-05:00,83.52669005988294,83.79006135780496,82.36785060796232,83.06014251708984,1148700,0.0,0.0
2015-01-21 00:00:00-05:00,81.9916311139895,83.06016972475474,81.80350787655622,82.92472076416016,1320600,0.0,0.0
2015-01-22 00:00:00-05:00,83.03758051068938,83.51917545024153,82.21736610275556,83.36115264892578,1151900,0.0,0.0
2015-01-23 00:00:00-05:00,81.81854584767575,82.26251385035481,81.38209863953853,81.73577117919922,1556900,0.0,0.0
2015-01-26 00:00:00-05:00,81.69815383792788,82.32272432213044,81.3896347346044,82.27005004882812,808500,0.0,0.0
2015-01-27 00:00:00-05:00,80.4490018976659,82.60865239546808,80.4490018976659,82.15715789794922,1071400,0.0,0.0
2015-01-28 00:00:00-05:00,82.15715861886255,82.93975176725891,80.81019590834937,81.0284194946289,1431300,0.0,0.0
2015-01-29 00:00:00-05:00,76.6940659964414,77.81528441952614,74.29361783085972,77.72498321533203,6049800,0.0,0.0
2015-01-30 00:00:00-05:00,77.01011448287653,77.9281566661633,76.60377340145052,76.91229248046875,3111800,0.0,0.0
2015-02-02 00:00:00-05:00,76.7542568004697,78.37964381783732,76.42315816928804,78.30438995361328,1624700,0.0,0.0
2015-02-03 00:00:00-05:00,78.4097414827029,78.84618865126743,78.04102164632585,78.7859878540039,1264300,0.0,0.0
2015-02-04 00:00:00-05:00,78.68065647063482,80.12544721440035,78.68065647063482,79.53849792480469,1555400,0.0,0.0
2015-02-05 00:00:00-05:00,79.71155516171707,80.02007419583094,79.07945828282148,79.62125396728516,886600,0.0,0.0
2015-02-06 00:00:00-05:00,79.43314210386346,80.07276560870704,79.15472342821904,79.41056823730469,1106800,0.0,0.0
2015-02-09 00:00:00-05:00,79.04184079862233,79.74165930037093,78.86876493644185,78.97411346435547,879500,0.0,0.0
2015-02-10 00:00:00-05:00,79.47077201821597,79.92979312564952,79.00422437462606,79.67394256591797,793700,0.0,0.0
2015-02-11 00:00:00-05:00,79.8169408659979,80.10288616997234,79.00424696072332,79.8921890258789,781400,0.0,0.0
2015-02-12 00:00:00-05:00,79.73411598801559,80.26838505032086,79.29766889788579,80.2608642578125,1043600,0.0,0.0
2015-02-13 00:00:00-05:00,79.83195588090868,80.14800721015938,79.55353722796247,79.77928161621094,1122100,0.0,0.0
