Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,118.31432259067458,118.89983793081258,115.9654670037651,117.40882110595703,1550878,0.0,0.0
2015-01-05 00:00:00-05:00,116.97989704289894,117.0547882329488,115.29824237963304,115.6046142578125,2142090,0.0,0.0
2015-01-06 00:00:00-05:00,117.38839030740931,118.00113407276905,115.45483357367081,115.59780883789062,3242113,0.0,0.0
2015-01-07 00:00:00-05:00,117.08204833800792,117.33395044813652,115.77486216408558,116.44888305664062,2278228,0.0,0.0
2015-01-08 00:00:00-05:00,117.90581423445674,119.39002372949156,117.41561151712838,119.17215728759766,2258000,0.0,0.0
2015-01-09 00:00:00-05:00,118.81136291422008,119.3015529345283,117.34076706874859,117.55182647705078,1732684,0.0,0.0
2015-01-12 00:00:00-05:00,118.50494241553734,119.14491460655246,117.43604446313881,117.4905014038086,2338913,0.0,0.0
2015-01-13 00:00:00-05:00,118.41646034291021,118.96112010287588,115.8088825648219,116.76204681396484,2154872,0.0,0.0
2015-01-14 00:00:00-05:00,115.74080280445516,117.75605817306511,115.06678197519183,117.61308288574219,2393765,0.0,0.0
2015-01-15 00:00:00-05:00,117.980721151847,118.77728294684565,117.15691799031173,118.36198425292969,2752786,0.0,0.0
2015-01-16 00:00:00-05:00,117.6879431542506,120.43849559402169,117.6879431542506,120.34317016601562,3212825,0.0,0.0
2015-01-20 00:00:00-05:00,121.39844697107957,122.18821435857917,120.64272806087124,121.95673370361328,3222008,0.0,0.0
2015-01-21 00:00:00-05:00,121.82739979243325,122.84182805125262,120.84020000768933,121.65719604492188,2004711,0.0,0.0
2015-01-22 00:00:00-05:00,122.22904731865228,123.56347420605174,121.39843729532527,123.502197265625,1907913,0.0,0.0
2015-01-23 00:00:00-05:00,120.88784146735999,123.05287888228413,119.51937867895904,119.83255767822266,4145188,0.0,0.0
2015-01-26 00:00:00-05:00,119.78490324443007,121.14655886240814,119.26066492904972,120.27509307861328,1729706,0.0,0.0
2015-01-27 00:00:00-05:00,119.51256782792916,119.54661630937245,118.19857491722033,118.38239288330078,1722508,0.0,0.0
2015-01-28 00:00:00-05:00,119.43768643907619,119.56704747309098,116.5237498604347,116.72798919677734,1514889,0.0,0.0
2015-01-29 00:00:00-05:00,117.1977856131365,117.94668476270151,115.77485273364748,117.7083969116211,2035985,0.0,0.0
2015-01-30 00:00:00-05:00,116.80969199678992,118.21901051149285,114.97826766413073,115.13485717773438,2723499,0.0,0.0
2015-02-02 00:00:00-05:00,115.2641922344804,116.62584771939157,114.39953365296945,116.59181213378906,1830227,0.0,0.0
2015-02-03 00:00:00-05:00,117.79690401513388,118.45729765901979,116.25141735169267,117.76285552978516,2047030,0.0,0.0
2015-02-04 00:00:00-05:00,117.19777699157311,117.92625472975394,116.53737044103221,117.15692138671875,1789894,0.0,0.0
2015-02-05 00:00:00-05:00,117.59259351743458,118.57979282710801,117.51089524225402,118.0351333618164,1426778,0.0,0.0
2015-02-06 00:00:00-05:00,118.52538707570066,119.13132379795152,117.32712786904355,117.95349884033203,1311241,0.0,0.0
2015-02-09 00:00:00-05:00,117.29990092921223,117.91945189741975,116.39439939344096,116.85736083984375,1502231,0.0,0.0
2015-02-10 00:00:00-05:00,117.74921527604653,118.28706777374165,116.27181301746239,117.98750305175781,1858894,0.0,0.0
2015-02-11 00:00:00-05:00,118.04882615939138,119.13814581496844,117.74926132026685,118.40966796875,1719530,0.0,0.0
2015-02-12 00:00:00-05:00,118.94750167521096,120.3772415524288,118.593467042182,120.03001403808594,2626204,0.0,0.0
2015-02-13 00:00:00-05:00,119.73042518432781,120.8333715738698,119.55341434952271,120.14573669433594,2077558,0.0,0.0
2015-02-17 00:00:00-05:00,120.23422765277674,122.32437340156436,120.17295071201542,122.23585510253906,1895752,0.0,0.0
2015-02-18 00:00:00-05:00,122.13376282016655,122.58310996337971,121.75930686748892,122.3992919921875,1576939,0.0,0.0
2015-02-19 00:00:00-05:00,122.52863811935799,122.5490594730961,121.60952249391815,121.62994384765625,2107094,0.0,0.0
2015-02-20 00:00:00-05:00,121.22141447536237,121.77968821583424,120.4588885844553,121.52778625488281,1774878,0.0,0.0
2015-02-23 00:00:00-05:00,121.52781547189407,121.73887478885896,120.77209651508946,121.39164733886719,1187017,0.0,0.0
2015-02-24 00:00:00-05:00,121.1329602180682,121.5891145220352,120.80615406094708,121.05126190185547,1410272,0.0,0.0
2015-02-25 00:00:00-05:00,121.19423632989273,121.22827192296387,119.34918487868491,119.5806655883789,1761475,0.0,0.0
2015-02-26 00:00:00-05:00,119.4785563767806,119.80534966795335,118.06923774712347,118.87261962890625,2350330,0.0,0.0
2015-02-27 00:00:00-05:00,120.5474508012743,121.22147161236782,119.99598391665988,120.49298095703125,2976166,0.0,0.0
2015-03-02 00:00:00-05:00,120.49297101677486,121.28954568863286,119.86661298260023,120.37042999267578,1905307,0.0,0.0
2015-03-03 00:00:00-05:00,120.16617477900674,120.17978901553862,119.02238552628772,119.92788696289062,1591210,0.0,0.0
2015-03-04 00:00:00-05:00,119.5261874534523,119.6759698371123,118.74323994444283,118.88621520996094,1284807,0.0,0.0
2015-03-05 00:00:00-05:00,119.37644462027306,119.37644462027306,118.13734243161609,119.02242279052734,1156860,0.0,0.0
